scenarioId,projectId,name,isResult,parentID,owner,lastModified,readOnly,mergeDependencies
37,1,historic run ([21] @ 29-Jul-2020 1:58 PM),Yes,21,N/A,7/29/2020 at 2:59 PM,No,No
38,1,BAU run | historic ([22] @ 29-Jul-2020 3:00 PM),Yes,22,N/A,7/29/2020 at 6:13 PM,No,No
39,1,BAU run | baseline ([23] @ 29-Jul-2020 6:13 PM),Yes,23,N/A,7/29/2020 at 9:26 PM,No,No
40,1,BAU run | RCP 8.5 ([24] @ 29-Jul-2020 9:26 PM),Yes,24,N/A,7/30/2020 at 12:39 AM,No,No
41,1,BAU run + ref | historic ([25] @ 30-Jul-2020 12:39 AM),Yes,25,N/A,7/30/2020 at 3:54 AM,No,No
42,1,BAU run + ref | baseline ([26] @ 30-Jul-2020 3:54 AM),Yes,26,N/A,7/30/2020 at 7:09 AM,No,No
43,1,BAU run + ref | RCP 8.5 ([27] @ 30-Jul-2020 7:09 AM),Yes,27,N/A,7/30/2020 at 10:26 AM,No,No
44,1,BAU run + corrs protection | historic ([28] @ 30-Jul-2020 10:26 AM),Yes,28,N/A,7/30/2020 at 1:34 PM,No,No
45,1,BAU run + corrs protection | baseline ([29] @ 30-Jul-2020 1:35 PM),Yes,29,N/A,7/30/2020 at 4:45 PM,No,No
46,1,BAU run + corrs protection | RCP 8.5 ([30] @ 30-Jul-2020 4:45 PM),Yes,30,N/A,7/30/2020 at 7:54 PM,No,No
47,1,BAU run + corrs protection + ref | historic ([31] @ 30-Jul-2020 7:54 PM),Yes,31,N/A,7/30/2020 at 11:05 PM,No,No
48,1,BAU run + corrs protection + ref | baseline ([32] @ 30-Jul-2020 11:05 PM),Yes,32,N/A,7/31/2020 at 2:16 AM,No,No
49,1,BAU run + corrs protection + ref | RCP 8.5 ([33] @ 31-Jul-2020 2:16 AM),Yes,33,N/A,7/31/2020 at 5:30 AM,No,No
50,1,BAU run + corrs protection + ref TARGETED | historic ([34] @ 31-Jul-2020 5:30 AM),Yes,34,N/A,7/31/2020 at 8:39 AM,No,No
51,1,BAU run + corrs protection + ref TARGETED | baseline ([35] @ 31-Jul-2020 8:39 AM),Yes,35,N/A,7/31/2020 at 11:49 AM,No,No
52,1,BAU run + corrs protection + ref TARGETED | RCP 8.5 ([36] @ 31-Jul-2020 11:49 AM),Yes,36,N/A,7/31/2020 at 2:59 PM,No,No
